4.6714,0,0.000996
4.66847,0.00142,0.000996
4.57932,0.00712,0.000997
4.45824,0.01423,0.001001
4.33497,0.02135,0.001007
4.20404,0.02846,0.001016
4.07395,0.03558,0.001027
3.92936,0.04269,0.00104
3.79788,0.04981,0.001056
3.64503,0.05692,0.001074
3.49785,0.06404,0.001093
3.37812,0.07115,0.001115
3.1934,0.07827,0.001138
3.03457,0.08538,0.001163
2.88291,0.0925,0.00119
2.67722,0.09961,0.001218
2.51515,0.10673,0.001247
2.29915,0.11384,0.001278
2.1454,0.12096,0.00131
1.84946,0.12807,0.001343
1.56099,0.13519,0.001377
